,implied_enterprise_value (USD millions),implied_equity_value (USD millions),implied_per_share_value (USD)
min,1741519.221654391,1793660.221654391,73.26145577153089
median,7403216.567476722,7455357.567476722,304.51160264169926
max,13693532.117746178,13745673.117746178,561.4374512006772
