,implied_enterprise_value,implied_equity_value,implied_per_share_value
min,1809354.5972285126,1861495.5972285126,76.03216914710259
median,11426398.093930434,11478539.093930434,468.8371153016556
max,37950269.85435327,38002410.85435327,1552.1958442328666
