ticker,revenue_ltm,ebitda_ltm,net_income_ltm
NVDA,187142,110122,99198
AMD,32027,2813,3306
AVGO,63887,25484,23126
MRVL,7793.3,1153.7,2474.2
QCOM,44284,12355,5541
INTC,53439,-2382,206
